#	Country	Date	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
139	Sudan	28-02-2022	61,458	+82	3,908 	+7	40,329		17,221		1,349	86	562,941	12,359	45,547,830 	Africa
140	Mauritania	28-02-2022	58,633	+1	979 		57,604	+2	50	30	12,083	202	745,392	153,614	4,852,386 	Africa
141	 Belize	28-02-2022	56,694	+97	650 		54,741	+288	1,303	6	138,410	1,587	501,604	1,224,595	409,608 	North America
142	Cabo Verde	28-02-2022	55,886	+4	401 		55,414	+5	71	23	98,736	708	400,982	708,432	566,013 	Africa
143	Barbados	28-02-2022	55,165	+134	316 	+1	52,864	+611	1,985		191,572	1,097	585,575	2,033,536	287,959 	North America
144	Syria	28-02-2022	54,575	+95	3,075 	+4	47,133	+200	4,367		2,998	169	146,269	8,034	18,205,938 	Asia
145	New Caledonia	28-02-2022	54,177	+1,170	299 		46,473	+4,155	7,405	32	186,782	1,031	98,964	341,190	290,055 	Australia/Oceania
146	Channel Islands	28-02-2022	51,002	+618	143 		48,104	+471	2,755		288,924	810	1,209,938	6,854,241	176,524 	Europe
147	Gabon	28-02-2022	47,543	+9	303 		46,561	+406	679	1	20,556	131	1,571,354	 679,397	2,312,864 	Africa
148	Papua New Guinea	28-02-2022	41,290	+252	638 		39,344	+488	1,308	7	4,474	69	249,149	26,998	9,228,286 	Australia/Oceania
149	Seychelles	28-02-2022	39,336		163 	 	38,731		442		395,902	1,641			99,358 	Africa
150	Curaçao	28-02-2022	38,944	+11	261 		38,386	+34	297	3	235,729	1,580	492,011	2,978,149	165,207 	North America
151	Burundi	28-02-2022	38,102	+16	38 		773		37,291		3,054	3	345,742	27,708	12,478,086 	Africa
152	Andorra	28-02-2022	37,999		151 		37,135		713	14	490,500	1,949	249,838	3,224,965	77,470 	Europe
153	Togo	28-02-2022	36,798		272 		36,410		116		4,279	32	689,248	80,139	8,600,631 	Africa
154	Mayotte	28-02-2022	36,662		187 		2,964		33,511		129,212	659	176,919	623,536	283,735 	Africa
155	Guinea	28-02-2022	36,397	+4	440 		32,939		3,018	49	2,652	32	587,607	42,817	13,723,646 	Africa
156	Faeroe Islands	28-02-2022	34,237		28 		7,693		26,516	5	696,284	569	778,000	15,822,334	49,171 	Europe
157	Aruba	28-02-2022	33,684	+8	211 		33,418	+12	55	6	313,284	1,962	177,885	1,654,452	107,519  	North America
158	Tanzania	28-02-2022	33,620		798 		N/A	N/A	N/A	7	537	13			62,556,076 	Africa
159	Bahamas	28-02-2022	33,135	+6	771 		26,221		 6,143	9	82,945	1,930	220,353	551,595	399,483 	North America
160	Lesotho	28-02-2022	32,612		696 		23,343		8,573		15,025	321	398,053	183,397	2,170,448 	Africa
161	Mauritius	28-02-2022	31,731	+873	786 		27,594	+586	3,351		24,882	616	358,675	281,254	1,275,273 	Africa
162	Mali	28-02-2022	30,381	+3	722 		29,498	+28	161		1,432	34	621,663	29,299	21,218,200 	Africa
163	Haiti	28-02-2022	30,342		820 		25,219	+9	4,303		2,608	70	132,422	11,383	11,633,302 	North America
164	Benin	28-02-2022	26,567		163 		25,506		898	5	2,100	13	604,310	47,772	12,649,921 	Africa
165	Somalia	28-02-2022	26,313		1,348 		13,182		11,783		1,582	81	400,466	24,083	16,628,649 	Africa
166	Congo	28-02-2022	24,020	 +53	378 		20,178		3,464		4,182	66	347,815	60,559	5,743,406 	Africa
167	Isle of Man	28-02-2022	22,844	+68	79 		22,335	+20	430		266,309	921	150,753	1,757,438	85,780 	Europe
168	Saint Lucia	28-02-2022	22,694	+27	358 		22,180	+88	156	4	122,656	1,935	135,644	733,128	185,021 	North America
169	Timor-Leste	28-02-2022	22,693	+25	128 		22,140	+132	425	 9	16,685	94	248,770	182,903	1,360,118 	Asia
170	Burkina Faso	28-02-2022	20,751		375 		20,309		67		950	17	248,995	11,394	21,853,976 	Africa
171	Taiwan	28-02-2022	20,489	 +56	853 		18,386	+48	1,250		858	36	11,589,121	485,137	23,888,366 	Asia
172	Cayman Islands	28-02-2022	19,373		17 		8,553		10,803	2	289,136	254	222,773	3,324,821	67,003 	North America
173	Nicaragua	28-02-2022	18,004		220 		4,225		13,559		2,665	33			6,755,407 	North America
174	Tajikistan	28-02-2022	17,388		124 		17,263		1		1,758	13			9,893,075 	Asia
175	South Sudan	28-02-2022	16,973	+18	137 		13,271	+21	3,565	1	1,487	12	340,487	29,837	11,411,610 	Africa
176	Equatorial Guinea	28-02-2022	15,884	+7	182 		15,664	+11	38	5	10,737	123	273,437	184,828	1,479,410 	Africa
177	Djibouti	28-02-2022	15,547		189 		15,352		6		15,365	187	285,109	281,770	1,011,850 	Africa
178	Gibraltar	28-02-2022	15,428	+115	101 		14,832	+233	495	10	458,158	2,999	514,605	15,281,968	33,674 	Europe
179	San Marino	28-02-2022	14,369	+162	112 		13,994	+291	263	4	422,009	3,289	136,485	4,008,488	34,049 	Europe
180	CAR	28-02-2022	14,225	+38	113 		6,859		7,253	2	2,863	23	81,294	16,360	4,969,139 	Africa
181	Grenada	28-02-2022	13,690	+11	216 		13,336	+78	138	4	120,735	1,905	136,411	1,203,036	113,389 	North America
182	Bhutan	28-02-2022	12,702	+508	6 		8,291	+381	4,405		16,166	8	1,983,905	2,524,968	785,715 	Asia
183	Liechtenstein	28-02-2022	12,001	+93	78 		11,485	+298	438	4	313,260	2,036	80,413	2,099,008	38,310 	Europe
184	Gambia	28-02-2022	11,939	+15	365 		11,559	+98	15	4	4,720	144	137,657	54,426	2,529,273 	Africa
